Name,Price,Time,Location,Product,Etat,Livraison
Samsung Galaxy A42 5G - 128Go,79 900 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Iphone 11,145 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Sony Xperia 5 mark 2 5g -128Go,80 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy A14 -128Go,70 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Mazda CX5-gt 2016 mutation janvier,8 200 000 CFA,1 heure,"Dakar, Sénégal",Voitures,Produit neuf,
Iphone XR,110 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
IPhone XR,102 500 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Hyundai Tucson 2017,8 900 000 CFA,1 heure,"Damel, Dakar, Sénégal",Voitures,,
Samsung Galaxy A53 5G - 128Go,120 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy A82 5g - 128Go,105 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Sony Xperia 1 mark 2 5g -128Go,105 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Huawei Mate 10Pro -128Go,70 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy A24 5G -128Go,99 900 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
TCL 20L plus -256Go,75 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Sony Xperia 5 mark 3 5g -128Go,95 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy A42 5G,79 900 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Machine electic  crushier,35 000 CFA,1 heure,"Colobane, Dakar, Sénégal",Autre électromenager,,
Peugeot 3008 2018,12 500 000 CFA,1 heure,"Dakar, Sénégal",Voitures,Produit neuf,
Location appartements 4pièces -Ouest foire,375 000 CFA,"Ouest Foire, Dakar, Sénégal",Appartements,"Ouest Foire, Dakar, Sénégal",,
Sharp Aquos r6 5g,95 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Ford Focus  SE 2013,3 200 000 CFA,1 heure,"Dakar, Sénégal",Voitures,Produit neuf,
Kia Sorento 2010,3 700 000 CFA,1 heure,"Dakar, Sénégal",Voitures,Produit neuf,
Housse matelas impérméable,15 000 CFA,1 heure,"Colobane, Dakar, Sénégal",Literie & Matelas,,
Ford Fusion sel 2014,3 950 000 CFA,1 heure,"Dakar, Sénégal",Voitures,Produit neuf,
Peugeot 207 2012,3 500 000 CFA,1 heure,"Dakar, Sénégal",Voitures,Produit neuf,
Nissan Juke 2014,4 300 000 CFA,1 heure,"Dakar, Sénégal",Voitures,Produit neuf,
Kia Sorento EX 2015,6 400 000 CFA,1 heure,"Dakar, Sénégal",Voitures,Produit neuf,
Table ronde et table carré dimension 1m80,75 000 CFA,"Colobane, Dakar, Sénégal",Meubles,"Colobane, Dakar, Sénégal",,
Étagère pour salle de bains,10 000 CFA,1 heure,"Colobane, Dakar, Sénégal",Autres pour la maison,,
Souve't ment,1 500 CFA,"Colobane, Dakar, Sénégal",Vêtements Homme,"Colobane, Dakar, Sénégal",,
Ensemble couteau,15 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Vaisselle,,
Tenu de fitness,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Tenu de fitness,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Armoire 2batants avec range chaussures,20 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Meubles,,
Range chaussures en tissu,10 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Meubles,,
iPad pro 11 pouces,185 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,,
Samsung Galaxy S22 ultra -256Go,145 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Tecno Camon 30S - 128Go,90 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Maillot,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Short cotton,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Vêtements Femme,,
Tenu de fitness,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Tenu de fitness,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Oppo Find X5 - 256Go,145 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Téléphones & Tablettes,,disponible
iPhone 11Pro -64Go,125 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Ensemble meuble TV venant de turquie,140 000 CFA,"Colobane, Dakar, Sénégal",Meubles,"Colobane, Dakar, Sénégal",,
Table à manger 2places,22 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Meubles,,
Maillot,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Casque de boxe,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Grip strengh,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Sport & Fitness,,
Pour sport,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
iPhone 13Pro Max -128Go,270 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Samsung Galaxy S20plus -128Go,125 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 11- 64Go,90 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Samsung Galaxy A55 -128Go,145 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Samsung Galaxy S22 ultra -256Go,240 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Protége,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Gant de box,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Gant de boxe,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Ensemble pour enfants,8 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Vêtements Enfants,,
Suchet,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Protège,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
PC HP  revolve 810 G3,100 000 CFA,"Yoff, Dakar, Sénégal",Ordinateurs,"Yoff, Dakar, Sénégal",,
Table à manger 6 places VP qualité,280 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Meubles,,
Coupe,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Médaille d'or,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Gant de boxe,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Table basse VIP 2 pièces,140 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Meubles,,
Coupe de ganisations,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Table TV VIP,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Meubles,,
Table basse VIP,90 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Meubles,,
Table basse VIP,90 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Meubles,,
Ballon d'or,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
PC Lenovo yoga,120 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
Coupe,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
Pour sport,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Sport & Fitness,,
Pour sport,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Sport & Fitness,,
Samsung Galaxy S21+ -256Go,185 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Tecno Spark 30C-256Go,85 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy Z Fold 3 -256Go,270 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
M-Horse Hot 30-128Go,65 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 12 -128Go,170 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy S21+ -256Go,185 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Tecno Spark 30C-256Go,85 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy Z Fold 3 -256Go,270 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
M-Horse Hot 30-128Go,65 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 12 -128Go,170 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy Watch 5 Pro 45MM,100 000 CFA,"Yoff, Dakar, Sénégal",Montres connectées & GPS,"Yoff, Dakar, Sénégal",,
Pour sport,Prix sur demande,2 heures,"Colobane, Dakar, Sénégal",Autres Sports & Loisirs,,
M-Horse S22,65 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
M-Horse C55,60 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Mazda CX5 2018,12 200 000 CFA,2 heures,"Dakar, Sénégal",Voitures,Produit neuf,
Volkswagen Tiguan 2012,3 500 000 CFA,2 heures,"Dakar, Sénégal",Voitures,Produit neuf,
Renault Clio 2014 diesel,3 600 000 CFA,3 heures,"Dakar, Sénégal",Voitures,Produit neuf,
iPhone 11 -128Go,155 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Kia Sportage 2013,5 600 000 CFA,3 heures,"Dakar, Sénégal",Voitures,Produit neuf,
Range Rover 2021,20 500 000 CFA,3 heures,"Dakar, Sénégal",Voitures,Produit neuf,
Chemise,18 000 CFA,3 heures,"Keur Massar, Sénégal",Vêtements Homme,,
Iphone 15 pro 128g,430 000 CFA,3 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,
Lenovo Thinkpad L390 tactile Rotatif,150 000 CFA,3 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
"PC Macbook pro 2017 13 """,250 000 CFA,3 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
Macbook pro Retina 2016 13.3 pouces,200 000 CFA,3 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
Téléphone M-Horse -64Go,45 000 CFA,4 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
PC HP Elitebook x360 1040 G8,285 000 CFA,4 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
Apple Mac Pro 64Go,225 000 CFA,4 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
Apple mac pro 64Go,275 000 CFA,4 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
HP Elitebook 850 G4,125 000 CFA,4 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
Ford Edge 2017,6 700 000 CFA,4 heures,"Almadies, Dakar, Sénégal",Voitures,,
Mazda CX-5 (gt) 2017,10 000 000 CFA,4 heures,"Ouest Foire, Dakar, Sénégal",Voitures,,
PC HP Zbook 14u G6 8th Gen,165 000 CFA,4 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
Nissan Altima 2014,2 800 000 CFA,4 heures,"Ouest Foire, Dakar, Sénégal",Voitures,,
Ipad 5h Gen-128Go,85 000 CFA,"Yoff, Dakar, Sénégal",Ordinateurs,"Yoff, Dakar, Sénégal",,
Location appartement meublé  4 pièces  - Mariste,30 000 CFA,5 heures,"Mariste, Dakar, Sénégal",Appartements meublés,,
Tecno Spark 30C -256Go,80 000 CFA,5 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy S22 ultra -256Go,340 000 CFA,5 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Tecno Camon 40 - 256Go,145 000 CFA,5 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy Z Fold 3 -256Go,310 000 CFA,5 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
"PC Macbook Pro 2017 15"" 4Go graphique",300 000 CFA,5 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
PC HP Zbook 14u G6 8é génération,165 000 CFA,5 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
PC Surface laptop Go,200 000 CFA,5 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
Vente villa 7pièces  à Mboro,56 499 500 CFA,"Thies, Sénégal",Villas,"Thies, Sénégal",,
PC HP Zbook 15u G6 4Go graphique,250 000 CFA,6 heures,"Yoff, Dakar, Sénégal",Ordinateurs,,
iPhone 13Pro -128Go,275 000 CFA,6 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Peugeot 308 2013,3 950 000 CFA,"Mbao, Dakar, Sénégal",Voitures,"Mbao, Dakar, Sénégal",,
iPhone 11Pro -256Go,175 000 CFA,6 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 13 -128Go,197 000 CFA,6 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 13Pro Max -128Go,315 000 CFA,6 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung S24 ultra -256Go,450 000 CFA,6 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 12 -128Go,170 000 CFA,6 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 11Pro Max -256Go,297 000 CFA,6 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
PC Dell l’attitude 5420,220 000 CFA,6 heures,"Dakar Plateau, Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
PC Lenovo yoga,110 000 CFA,6 heures,"Dakar Plateau, Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
