Name,Price,Time,Location,Product,Etat,Livraison
Ipad pro 4e génération m2,380 000 CFA,47 minutes,"Medina, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Jeep Cherokee trail hawk,6 700 000 CFA,47 minutes,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Peugeot 308 GT Line 2016,5 850 000 CFA,47 minutes,"Fass, Dakar, Sénégal",Voitures,,
iPad pro 6e génération m2,450 000 CFA,54 minutes,"Medina, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Chaussures homme,10 000 CFA,54 minutes,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Samsung Galaxy A16 -256Go,125 000 CFA,54 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Peugeot 2008 2022,14 000 000 CFA,54 minutes,"Fass, Dakar, Sénégal",Voitures,,
Chaussures homme,Prix sur demande,56 minutes,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Getzner super manium gold,12 000 CFA,56 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Serveur Dell Poweredge T630,350 000 CFA,56 minutes,"Guediawaye, Dakar, Sénégal",Accessoires Informatiques,,
Serveur Dell T7920,650 000 CFA,56 minutes,"Guediawaye, Dakar, Sénégal",Ordinateurs,,
Peugeot 2008 2022,13 500 000 CFA,56 minutes,"Fass, Dakar, Sénégal",Voitures,Produit neuf,
Ford Explorer Platinium 2016,8 200 000 CFA,1 heure,"Grand Dakar, Dakar, Sénégal",Voitures,Produit neuf,
GMC Terrain 2019,11 000 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Ventilateur mural mtk air,19 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Climatiseurs & ventilateurs,Produit neuf,disponible
Chaussures homme,Prix sur demande,1 heure,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Chaussures homme,Prix sur demande,1 heure,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Jeep Cherokee 2019,11 000 000 CFA,1 heure,"Dakar Plateau, Dakar, Sénégal",Voitures,,
Chaussures homme,16 000 CFA,1 heure,"Dakar, Sénégal",Chaussures Homme,,disponible
Robe,15 000 CFA,1 heure,"Dakar, Sénégal",Vêtements Femme,,disponible
Babouche hommes,10 000 CFA,1 heure,"Dakar, Sénégal",Chaussures Homme,,disponible
Ford Tourneo 2016,5 700 000 CFA,1 heure,"Ouest Foire, Dakar, Sénégal",Voitures,,
Ensemble homme,13 000 CFA,1 heure,"Dakar, Sénégal",Vêtements Homme,,disponible
Dock Station Dell,45 000 CFA,1 heure,"Guediawaye, Dakar, Sénégal",Accessoires Informatiques,,
Bassin riche,5 000 CFA,1 heure,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Mazda CX-9 2019,12 900 000 CFA,"Damel, Dakar, Sénégal",Voitures,"Damel, Dakar, Sénégal",,
Location bureaux 70m²  -Mermoz-,300 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Bureaux & Commerces,,
Chaussures homme,13 000 CFA,1 heure,"Dakar, Sénégal",Chaussures Homme,,disponible
Chaussures homme,25 000 CFA,1 heure,"Dakar, Sénégal",Chaussures Homme,,disponible
Serveur Cisco,450 000 CFA,1 heure,"Guediawaye, Dakar, Sénégal",Accessoires Informatiques,,
Pièces détachées Ford Escape 2014,100 000 CFA,1 heure,"Mamelles, Dakar, Sénégal",Accessoires & pièces détachées,,
Services automobiles haut de gamme,Prix sur demande,1 heure,"Fass, Dakar, Sénégal",Accessoires & pièces détachées,,
Location Toyota Fortuner 2017 manuel diesel 7places,75 000 CFA,"Point E, Dakar, Sénégal",Location de véhicules,"Point E, Dakar, Sénégal",,disponible
Ford Fiesta 2012,2 800 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
iPhone 15 -128Go,260 000 CFA,1 heure,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Robe,12 000 CFA,1 heure,"Dakar Plateau, Dakar, Sénégal",Vêtements Femme,,disponible
Mazda CX-9 2018,12 900 000 CFA,1 heure,"Damel, Dakar, Sénégal",Voitures,,
Tissu homme,Prix sur demande,1 heure,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Chaussures homme,18 000 CFA,1 heure,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Canapé lit,160 000 CFA,1 heure,"Colobane, Dakar, Sénégal",Meubles,,
Chaussures homme,16 000 CFA,1 heure,"Dakar, Sénégal",Chaussures Homme,,disponible
Ensemble homme,13 000 CFA,"Dakar, Sénégal",Vêtements Homme,"Dakar, Sénégal",,disponible
Étagère vaisselle et chariot,Prix sur demande,1 heure,"Dakar Plateau, Dakar, Sénégal",Meubles,Produit neuf,
Subaru Crosstrek 2018,9 000 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Renault Trucks T460 2016,17 500 000 CFA,1 heure,"Fass, Dakar, Sénégal",Camions & Bus,,
Mazda CX-5 2016,8 600 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Location villa 9pièces Sipres,1 500 000 CFA,1 heure,"Sipres, Dakar, Sénégal",Villas,,
Samsung SM3 2017,7 500 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Volkswagen Tiguan 2012,3 750 000 CFA,1 heure,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Citroen C4 2016,5 800 000 CFA,1 heure,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Location Prado TXL 7places manuel diesel 2018,70 000 CFA,"Point E, Dakar, Sénégal",Location de véhicules,"Point E, Dakar, Sénégal",,disponible
Samsung Galaxy S20 plus 5g -128Go,125 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
Jeep Cherokee Limited 2017,8 800 000 CFA,1 heure,"Ouest Foire, Dakar, Sénégal",Voitures,,
Ceinture de musculations,Prix sur demande,1 heure,"Dakar Plateau, Dakar, Sénégal",Autres Sports & Loisirs,Produit neuf,
Hyundai Elantra Limited 2015,5 300 000 CFA,1 heure,"Ouest Foire, Dakar, Sénégal",Voitures,,
Mitsubishi Outlander 2017,7 950 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Hyundai Santa Fe 2018,11 000 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Body pomp,Prix sur demande,1 heure,"Dakar Plateau, Dakar, Sénégal",Sport & Fitness,Produit neuf,
Peugeot 2008 2022,13 700 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Toyota Rav4 Hybride  2020,17 900 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Citroen C4 2017,6 300 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
PC Asus zenbook ux39ea core i7 de 11th Gen,350 000 CFA,1 heure,"Dakar, Sénégal",Ordinateurs,,disponible
Sharp R6 5g - 128Go,100 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Sonnette de porte connectée wifi,10 000 CFA,1 heure,"Patte d'oie, Dakar, Sénégal",Autres pour la maison,Produit neuf,disponible
Penderie,32 000 CFA,1 heure,"Dakar Plateau, Dakar, Sénégal",Meubles,Produit neuf,
vélo sport,155 000 CFA,1 heure,"Dakar, Sénégal",Sport & Fitness,Produit neuf,
Ford Fusion 2018,4 800 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Citroen Berlingo 2017,6 300 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Samsung Galaxy S23 ultra -256Go,420 000 CFA,1 heure,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Google Pixel 8Pro -256Go,335 000 CFA,1 heure,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Vente villa 7pièces -Saly,40 000 000 CFA,1 heure,"Saly, Sénégal",Villas,,
Toyota Avensis 2016,6 900 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Mitsubishi Outlander 2017,7 900 000 CFA,1 heure,"Fass, Dakar, Sénégal",Voitures,,
Étagère toilette,12 000 CFA,1 heure,"Dakar, Sénégal",Meubles,Produit neuf,
Location appartement meublé 5 pièces - Sacré Cœur 3,130 000 CFA,1 heure,"Sacré-Coeur, Dakar, Sénégal",Appartements meublés,,
Pointeuse biométrique,37 500 CFA,1 heure,"Patte d'oie, Dakar, Sénégal",Caméras et Matériel de surveillance,Produit neuf,disponible
Toyota Rav4 2015,7 000 000 CFA,2 heures,"Ouest Foire, Dakar, Sénégal",Voitures,,
Chaise pliable,55 000 CFA,2 heures,"Dakar, Sénégal",Pour la maison,Produit neuf,
Samsung Galaxy Note 20 ultra -256Go,285 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy S24 ultras -256Go,555 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Land Rover Range Rover Evoque 2017,14 500 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Lunettes de soleil,8 000 CFA,2 heures,"Patte d'oie, Dakar, Sénégal",Lunettes,Produit neuf,disponible
UC plus Dell optiplex 7010 i5 de 13th,Prix sur demande,2 heures,"Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
Samsung Galaxy Fold 5 -256Go,560 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Mazda CX-9 2017,13 000 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Salon,450 CFA,2 heures,"Medina, Dakar, Sénégal",Meubles,Produit neuf,disponible
BMW X1 2017,13 300 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Téléphone fixe sans fil,18 000 CFA,2 heures,"Patte d'oie, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Ford Explorer 2013,5 500 000 CFA,2 heures,"Damel, Dakar, Sénégal",Voitures,,
Renault Kangoo 2019,6 000 000 CFA,2 heures,"Fass, Dakar, Sénégal",Voitures,,
"Écran PC 24""",75 000 CFA,2 heures,"Patte d'oie, Dakar, Sénégal",Accessoires Informatiques,Produit neuf,disponible
iPhone 13 -128Go,195 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy Note 10+ -256Go,130 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Jeep Cherokee 2018,8 700 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
iPhone 11Pro -256Go,170 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Uc plus moniteur Dell optiplex 7010 i5 de 13th,275 000 CFA,2 heures,"Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
Samsung Galaxy Fold 3 -256Go,310 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 11Pro -64Go,225 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Kia K3 2018,7 500 000 CFA,2 heures,"Fass, Dakar, Sénégal",Voitures,,
Samsung Galaxy Fold 4 -256Go,335 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 11-128Go,197 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Ford Edge 2019,12 700 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Terrains -Diamniadio,5 000 000 CFA,"Keur Massar, Sénégal",Terrains,"Keur Massar, Sénégal",,
Support mural TV,20 000 CFA,2 heures,"Sicap Liberté, Dakar, Sénégal",Meubles,Produit neuf,disponible
Support mural mobile,20 000 CFA,2 heures,"Sicap Liberté, Dakar, Sénégal",Accessoires Informatiques,Produit neuf,disponible
Mercedes-Benz CLA-Class 250 2015,7 500 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Voitures,,
PC Ryzen gamer yoga tactile ssd 512gb ram 12gb,200 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Ordinateurs,,disponible
PC HP Envy X360 2-in-1 laptop,425 000 CFA,2 heures,"Dakar, Sénégal",Ordinateurs,Produit neuf,disponible
Location studio 2pièces -Cite magistrat keur yoff,225 000 CFA,2 heures,"Yoff, Dakar, Sénégal",Appartements,,
Samsung Galaxy Fold 4 -256Go,385 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 1Pro Max -256Go,375 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 14Pro Max -256Go,580 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 12Pro Max -256Go,315 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Skoda Octavia 2011,2 850 000 CFA,2 heures,"Guediawaye, Dakar, Sénégal",Voitures,,
iPhone 12Pro -256Go,220 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 11Pro -256Go,235 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Mazda CX-5 2016,6 700 000 CFA,2 heures,"Fass, Dakar, Sénégal",Voitures,,
iPhone 12Pro -128Go,297 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy S22 ultra - 256Go,345 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Kia Forte 2015,3 700 000 CFA,2 heures,"Fass, Dakar, Sénégal",Voitures,,
iPhone 14Pro Max -128Go,420 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 13Pro Max -128Go,355 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Citroen Berlingo,3 800 000 CFA,2 heures,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Peugeot 308 2017,7 800 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
iPhone 12Pro -256Go,270 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 13Pro Max -256Go,320 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Ford Focus 2018,6 000 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Ensemble pour enfants de 2ans a 6ans coton,7 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Vêtements Enfants,,
Hyundai Elantra 2016,4 750 000 CFA,2 heures,"Fass, Dakar, Sénégal",Voitures,,
Ensemble pour enfants de 2ans a 12ans,7 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Vêtements Enfants,,
Ensemble pour enfants de 1ans à 3ans,7 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Vêtements Enfants,,
Hyundai Tucson 2018,10 800 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Ensemble homme,15 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Ensemble homme,13 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Getzner super manium gold,12 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Chaussures homme,Prix sur demande,2 heures,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
iPhone 13 -128Go,190 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 12Pro Max -256Go,275 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
GMC Acadia 2015,6 500 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Location studio 2pièces -Cité biagui,250 000 CFA,2 heures,"Yoff, Dakar, Sénégal",Appartements,,
Ensemble homme,Prix sur demande,2 heures,"Dakar, Sénégal",Vêtements Homme,,
Chaussures homme,Prix sur demande,2 heures,"Dakar, Sénégal",Chaussures Homme,,
Ford Focus 2015,3 200 000 CFA,2 heures,"Sicap Liberté, Dakar, Sénégal",Voitures,,
Location appartements meublés 4pièces -Sacré-coeur,25 000 CFA,"Sacré-Coeur, Dakar, Sénégal",Appartements meublés,"Sacré-Coeur, Dakar, Sénégal",,
Hyundai Tucson 2018,9 400 000 CFA,2 heures,"Grand Yoff, Dakar, Sénégal",Voitures,,
Peugeot 208 2020,6 800 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Cageots,Prix sur demande,2 heures,"Dakar, Sénégal",Matériel Marchés & Commerces,Produit neuf,
Hyundai Tucson 2017,8 300 000 CFA,2 heures,"Grand Yoff, Dakar, Sénégal",Voitures,,
BMW X3 2023,6 500 000 CFA,2 heures,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Ensemble pour enfants coton,7 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Vêtements Enfants,,
iPhone 11Pro Max -256Go,170 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 14Pro Max -128Go,415 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Ford Escape 2021,9 999 999 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Mercedes-Benz ML350 2015,13 500 000 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Ensemble pour enfants de 3ans jusqu'à 8ans,7 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Vêtements Enfants,,
Kia Sportage ex 2017,9 999 999 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Ensemble pour enfants 6mois à 4ans,4 000 CFA,2 heures,"Colobane, Dakar, Sénégal",Vêtements Enfants,,
Citroen C4 2012,3 900 000 CFA,2 heures,"Pikine, Sénégal",Voitures,,
Ford Edge Titanium 2017,9 999 999 CFA,2 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
iPhone 16 - 256Go,550 000 CFA,2 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
iPhone 15Pro Max -256Go,560 000 CFA,2 heures,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,
iPhone 12- 64Go,145 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 12Pro Max -128Go,255 000 CFA,2 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Chénes de sécurité,Prix sur demande,2 heures,"Biscuiterie, Dakar, Sénégal",Autres Sports & Loisirs,,
Hyundai Sonata 2012,3 700 000 CFA,2 heures,"Dakar, Sénégal",Voitures,,
Porte blindée,225 000 CFA,2 heures,"Almadies 2, Dakar, Sénégal",Meubles,Produit neuf,
Samsung Galaxy M23 5g -128Go,80 000 CFA,3 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
PC Macbook pro 2018 i9,475 000 CFA,3 heures,"Dakar, Sénégal",Ordinateurs,,disponible
Toyota Rav4 2010,4 350 000 CFA,3 heures,"Dakar, Sénégal",Voitures,,
Chaussures homme,Prix sur demande,3 heures,"Dakar, Sénégal",Chaussures Homme,,disponible
Samsung Galaxy Fold 3 -256Go,310 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy Fold 4 -256Go,385 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Survêtement coton pour enfants,1 500 CFA,3 heures,"Colobane, Dakar, Sénégal",Vêtements Enfants,,
Samsung Galaxy S21 ultra -256Go,310 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy S21 ultra -256Go,340 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Chaise gamer,95 000 CFA,3 heures,"Dakar, Sénégal",Meubles,Produit neuf,disponible
Amaran 300C,450 000 CFA,3 heures,"Dakar, Sénégal",Appareils photos et Caméras,Produit neuf,disponible
Location appartements 3pièces -Dieuppeul-derklé,300 000 CFA,3 heures,"Dieuppeul-Derklé, Dakar, Sénégal",Appartements,,
Infiniti Q50 2015,5 500 000 CFA,3 heures,"Guediawaye, Dakar, Sénégal",Voitures,,
Chaussures homme,Prix sur demande,3 heures,"Dakar, Sénégal",Chaussures Homme,,disponible
iPhone 11 Pro Max -256Go,290 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 12Pro Max -128Go,297 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 13Pro -128Go,325 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Ford Escape 2011,3 600 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
Peugeot 308 2016,4 900 000 CFA,"Damel, Dakar, Sénégal",Voitures,"Damel, Dakar, Sénégal",,
Peugeot 308 2016,4 650 000 CFA,3 heures,"Mbao, Dakar, Sénégal",Voitures,,
PC Asus zenbook UX370AR.3.10 Core i7 de 8th ram 16go SSD 256Go,2 150 000 CFA,3 heures,"Dakar, Sénégal",Ordinateurs,,disponible
iPhone 11Pro -256Go,245 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Location appartements 4pièces -Cité biagui,400 000 CFA,3 heures,"Yoff, Dakar, Sénégal",Appartements,,
iPhone 14Pro Max -256Go,485 000 CFA,3 heures,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Mazda 3 2016,5 200 000 CFA,3 heures,"Mermoz-Sacré Coeur, Dakar, Sénégal",Voitures,,
Ford Escape 2010,3 000 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
Location magasin 90 - Cite biagui,300 000 CFA,3 heures,"Yoff, Dakar, Sénégal",Bureaux & Commerces,,
Citroen Berlingo 2017,6 300 000 CFA,3 heures,"Fass, Dakar, Sénégal",Voitures,,
Location appartements meublés 4 pièces - Sacré-coeur,25 000 CFA,3 heures,"Sacré-Coeur, Dakar, Sénégal",Appartements meublés,,
Location appartements 3pièces -Cité biagui,300 000 CFA,3 heures,"Yoff, Dakar, Sénégal",Appartements,,
Location appartements 3pièces -Virage,300 000 CFA,3 heures,"Yoff, Dakar, Sénégal",Appartements,,
Kia Seltos 2021,14 500 000 CFA,3 heures,"HLM, Dakar, Sénégal",Voitures,Produit neuf,
Location appartement meublé - Dakar,35 000 CFA,3 heures,"Sacré-Coeur, Dakar, Sénégal",Appartements meublés,,
Location chambres - Sacré Cœur,13 000 CFA,3 heures,"Sacré-Coeur, Dakar, Sénégal",Chambres,,
